northing,easting,District,Coordinate,Row 
821136.086,824599.775,TUEN MUN,563,563
821123.745,824590.518,TUEN MUN,564,564
821097.212,824551.027,TUEN MUN,565,565
821062.039,824510.301,TUEN MUN,566,566
821047.716,824497.912,TUEN MUN,567,567
821004.526,824465.61,TUEN MUN,568,568
820997.655,824458.354,TUEN MUN,569,569
820991.752,824450.29,TUEN MUN,570,570
820986.911,824441.547,TUEN MUN,571,571
820983.209,824432.265,TUEN MUN,572,572
820980.705,824422.59,TUEN MUN,573,573
820979.438,824412.678,TUEN MUN,574,574
820979.43,824402.684,TUEN MUN,575,575
821040.069,823835.699,TUEN MUN,576,576
817496.187,820643.213,TUEN MUN,577,577
817487.117,820635.042,TUEN MUN,578,578
804226.283,820624.706,TUEN MUN,579,579
804225.844,820624.706,TUEN MUN,580,580
804225.889,820624.839,TUEN MUN,581,581
804562,821619,TUEN MUN,582,582
804569.44,825364.674,TUEN MUN,583,583
804569.634,825462.783,TUEN MUN,584,584
804583,832192,TUEN MUN,585,585
805110.332,832504.622,TUEN MUN,586,586
805111.845,832504.41,TUEN MUN,587,587
811666.562,831588.062,TUEN MUN,588,588
811686,831583.375,TUEN MUN,589,589
811704.875,831576.812,TUEN MUN,590,590
811723.062,831568.437,TUEN MUN,591,591
811731.812,831563.562,TUEN MUN,592,592
811748.5,831552.625,TUEN MUN,593,593
811764.125,831540.125,TUEN MUN,594,594
811778.437,831526.125,TUEN MUN,595,595
811791.312,831510.875,TUEN MUN,596,596
811802.625,831494.375,TUEN MUN,597,597
811816.437,831467.812,TUEN MUN,598,598
811821.75,831454.25,TUEN MUN,599,599
811823.937,831439.437,TUEN MUN,600,600
811825.125,831419.5,TUEN MUN,601,601
811824.375,831390.937,TUEN MUN,602,602
811807.75,831286.062,TUEN MUN,603,603
811801.812,831257.312,TUEN MUN,604,604
811795.375,831233.187,TUEN MUN,605,605
811785.812,831204.75,TUEN MUN,606,606
811776.375,831181.562,TUEN MUN,607,607
811770.432,831163.666,TUEN MUN,608,608
811814.515,831156.055,TUEN MUN,609,609
811870.72,831149.806,TUEN MUN,610,610
811877.833,831151.518,TUEN MUN,611,611
811881.909,831155.013,TUEN MUN,612,612
811885.224,831159.97,TUEN MUN,613,613
811886.522,831164.266,TUEN MUN,614,614
811886.97,831170.135,TUEN MUN,615,615
811885.552,831179.226,TUEN MUN,616,616
811876.197,831214.497,TUEN MUN,617,617
811875.588,831219.826,TUEN MUN,618,618
811876.044,831225.002,TUEN MUN,619,619
811877.718,831230.331,TUEN MUN,620,620
811880.913,831235.811,TUEN MUN,621,621
811885.478,831241.901,TUEN MUN,622,622
811895.064,831251.34,TUEN MUN,623,623
811902.863,831256.809,TUEN MUN,624,624
811911.493,831261.071,TUEN MUN,625,625
811924.067,831264.228,TUEN MUN,626,626
811961.601,831267.751,TUEN MUN,627,627
811967.537,831272.623,TUEN MUN,628,628
811972.101,831285.716,TUEN MUN,629,629
811973.166,831294.698,TUEN MUN,630,630
811972.406,831306.573,TUEN MUN,631,631
811963.885,831347.8,TUEN MUN,632,632
811963.885,831353.585,TUEN MUN,633,633
811968.145,831366.526,TUEN MUN,634,634
811971.949,831373.834,TUEN MUN,635,635
811976.21,831379.314,TUEN MUN,636,636
